Y,BPM,ZCR,SPECTIRR,NAME
0,155.5844156,0.1746064789,1916338.544,
0,148.8461538,0.1005256921,2255232.941,
0,145.4285714,0.1389251433,3027405.328,
0,150.5791506,0.1313586294,2339145.262,
0,140.952381,0.09573428712,3784596.868,
1,71.71232877,0.1364724204,10409895.06,
1,59.71014493,0.1182687181,6298072.672,
1,64.08,0.08758818328,2681216.876,
1,116.7567568,0.1878502958,3304764.791,
1,100.8097166,0.1684420347,8086624.029,
2,141.888412,0.09579776683,7583212.919,
2,73.18181818,0.1655874509,3465176.457,
2,142.3668639,0.1138019228,3706143.274,
2,108.6995516,0.0773899693,6889667.038,
2,115.6561086,0.1572541338,9448899.41,
0,172.7472527,0.04786628111,774348.1719,
0,99.74276527,0.08749572014,3501873.73,
1,96.84210526,0.1600268319,7389420.647,
1,171.2068966,0.1098366928,4084274.533,
2,140,0.1110962207,449224.517,
1,152.6530612,0.02332644888,686012.799,
0,116.2204724,0.1029043279,491535.0777,
1,131.2,0.04355166289,131179.4122,
1,112.8,0.07451413454,1655930.223,
1,138.4962406,0.119942492,3536079.94,
0,143.7209302,0.05402353905,893939.5852,
1,128.6,0.08637063492,2396543.328,
1,155.3488372,0.09762969365,1009528.908,
1,121,0.08942634165,1967803.851,
1,57.8,0.04048919123,831742.6852,
1,120,0.08866537143,1788336.872,
0,134,0.09162543462,523008.4394,
2,133.2,0.1112697657,964786.8865,
1,165.112782,0.07360340573,495041.0467,
1,163.1914894,0.05943714261,2248839.486,
1,124.8322148,0.04025788402,1155829.384,
1,140.979021,0.139194864,4065616.777,
1,164.8351648,0.03749723868,2075172.026,
1,141.2068966,0.08612008472,3254105.295,
1,135,0.03154195011,3296555.311,
2,150.5172414,0.1137811878,5275197.726,
1,138.5840708,0.1067222358,5375313.749,
1,69.8630137,0.1062200501,4962583.403,
1,177.8571429,0.08095638443,3599552.457,
2,95.29411765,0.2123798417,6526260.663,
2,73.27659574,0.1041125337,7507882.68,
0,94.23913043,0.1367039109,3520596.982,
0,134.3661972,0.008305289114,445455.7483,
0,94.07665505,0.09875549821,1200443.429,
1,142.0754717,0.07796087724,7255662.227,Calvin Harris Dua Lipa - One Kiss (Lyric Video)
2,58.05555556,0.1477228711,5147119.418,Disturbed - Down With The Sickness [Music Video]
1,130.0429185,0.166681923,10025934.23,Flume - Never Be Like You feat. Kai
0,138.7665198,0.1949103677,2171475.992,gnash - i hate u i love u (feat. olivia obrien) (lyrics)
2,137.6842105,0.04013727324,1723043.261,Kendrick Lamar - DNA
0,143.2116788,0.1463910866,487612.8083,Louis Armstrong - What A Wonderful World (Lyrics)
2,131.5283843,0.103787903,5510618.245,Pharrell Williams - Happy (Audio)
0,145.9259259,0.1060768903,1683941.652,Seafret - Give Me Something (Official Video)
1,157.4257426,0.1216350945,7682910.455,Stressed Out by twenty one pilots lyrics
2,77.01492537,0.1736133785,5422292.907,Swedish House Mafia - Dont You Worry Child ft. John Martin
1,150.1421801,0.0895613569,3742884.967,Te Bote Remix - Casper Nio García Darell Nicky Jam Bad Bunny Ozuna  Video Oficial
1,139.1634981,0.08516161933,2809954.897,Tove Lo - Habits (Stay High) - Hippie Sabotage Remix
0,137,0.147552628,1533925.356,Elvis Presley - Cant Help Falling In Love (Audio)
1,93.95744681,0.1588312749,9753390.575,Simple Plan - Summer Paradise ft. Sean Paul (Official Audio)
1,105.0746269,0.1414928303,6503350.046,The Script - Hall of Fame (Lyric) ft. will.i.am
2,69.8540146,0.09212821957,6513159.948,KEAN DYSSO - What YO Gonna DO  GANGSTERMUSIC
2,128,0.1537677502,7009693.005,Troyboi  Diplo ft. Nina Sky - Afterhours (Empia Remix)
1,52.12598425,0.07338406748,12404382.97,Birdy - Wings (NuLogic Remix)
1,151.5929204,0.1248429686,1342994.78,Capital Cities - Safe And Sound (Official Video)
2,89.25373134,0.1150734047,11725597.05,Walk The Moon _ Shut Up and Dance With Me Lyrics
2,85.23364486,0.06666838349,5612833.234,Neyo - She Knows (feat. Juicy J) - Non Fiction (Audio)
1,89.02325581,0.09893773042,6086607.995,The Weeknd - Can’t Feel My Face (Audio)
2,114.8815166,0.1558298834,17053320.44,Fall Out Boy - Uma Thurman (Audio)
1,142.7027027,0.09724113291,3379535.297,Omi - Cheerleader [Official Audio]
0,143.0379747,0.1509175221,1587108.58,James Blunt - Goodbye My Lover [OFFICIAL VIDEO]
0,105.1821862,0.1233724988,3573536.274,Tom Odell - Another Love
